label	metric	value
Pammene_suspectana	covered_sites	22066303
Pammene_suspectana	confident_sites	85634
Pammene_suspectana	pct_confident	0.3881
Pammene_suspectana	clustering_observed	nan
Pammene_suspectana	clustering_null_mean	nan
Pammene_suspectana	clustering_enrichment	nan
Pammene_suspectana	clustering_z	nan
Pammene_suspectana	mito_sites	97
Pammene_suspectana	mito_pct_confident	0.0
Pammene_suspectana	cov0_pct	1.2862
Pammene_suspectana	cov0_n	45484
Pammene_suspectana	cov0_hits	585
Pammene_suspectana	cov10_pct	0.3093
Pammene_suspectana	cov10_n	232126
Pammene_suspectana	cov10_hits	718
Pammene_suspectana	cov20_pct	0.3376
Pammene_suspectana	cov20_n	1396074
Pammene_suspectana	cov20_hits	4713
Pammene_suspectana	cov30_pct	0.3554
Pammene_suspectana	cov30_n	1666360
Pammene_suspectana	cov30_hits	5922
Pammene_suspectana	cov40_pct	0.367
Pammene_suspectana	cov40_n	4825645
Pammene_suspectana	cov40_hits	17708
Pammene_suspectana	cov50_pct	0.4046
Pammene_suspectana	cov50_n	8504847
Pammene_suspectana	cov50_hits	34413
Pammene_suspectana	cov60_pct	0.4258
Pammene_suspectana	cov60_n	4186064
Pammene_suspectana	cov60_hits	17825
Pammene_suspectana	cov70_pct	0.4042
Pammene_suspectana	cov70_n	768243
Pammene_suspectana	cov70_hits	3105
Pammene_suspectana	cov80_pct	0.1751
Pammene_suspectana	cov80_n	174786
Pammene_suspectana	cov80_hits	306
Pammene_suspectana	cov90_pct	0.1523
Pammene_suspectana	cov90_n	84049
Pammene_suspectana	cov90_hits	128
Pammene_suspectana	cov100_pct	0.1459
Pammene_suspectana	cov100_n	50712
Pammene_suspectana	cov100_hits	74
Pammene_suspectana	cov110_pct	0.1477
Pammene_suspectana	cov110_n	36565
Pammene_suspectana	cov110_hits	54
Pammene_suspectana	cov120_pct	0.1555
Pammene_suspectana	cov120_n	23798
Pammene_suspectana	cov120_hits	37
Pammene_suspectana	cov130_pct	0.0772
Pammene_suspectana	cov130_n	14255
Pammene_suspectana	cov130_hits	11
Pammene_suspectana	cov140_pct	0.0084
Pammene_suspectana	cov140_n	11908
Pammene_suspectana	cov140_hits	1
Pammene_suspectana	cov150_pct	0.1673
Pammene_suspectana	cov150_n	8964
Pammene_suspectana	cov150_hits	15
Pammene_suspectana	cov160_pct	0.1089
Pammene_suspectana	cov160_n	6426
Pammene_suspectana	cov160_hits	7
Pammene_suspectana	cov170_pct	0.1396
Pammene_suspectana	cov170_n	6447
Pammene_suspectana	cov170_hits	9
Pammene_suspectana	cov180_pct	0.0
Pammene_suspectana	cov180_n	3733
Pammene_suspectana	cov180_hits	0
Pammene_suspectana	cov190_pct	0.0
Pammene_suspectana	cov190_n	2698
Pammene_suspectana	cov190_hits	0
Pammene_suspectana	cov200_pct	0.0175
Pammene_suspectana	cov200_n	17119
Pammene_suspectana	cov200_hits	3
